Date,Int,Pressure,PumpState
2017-08-25 02:57:12.020,0,22.9774758,
2017-08-25 02:57:13.520,0,21.3398856,
2017-08-25 02:57:15.230,0,19.801345,
2017-08-25 02:57:17.000,0,18.3569403,
2017-08-25 02:57:18.730,0,17.0019471,
2017-08-25 02:57:20.980,0,15.7318246,
2017-08-25 02:57:23.520,0,14.5422111,
2017-08-25 02:57:26.500,0,13.4289188,
2017-08-25 02:57:29.770,0,12.3879289,
2017-08-25 02:57:33.250,0,11.4153869,
2017-08-25 02:57:37.500,0,10.5075977,
2017-08-25 02:57:42.280,0,9.66102123,
2017-08-25 02:57:48.250,0,8.87226757,
2017-08-25 02:57:50.480,0,,2.0
2017-08-25 02:57:55.500,0,8.13809264,
2017-08-25 02:57:56.770,0,7.45539376,
2017-08-25 02:57:57.090,0,,
2017-08-25 02:57:57.500,0,6.82120525,
2017-08-25 02:57:58.520,0,6.23269422,
2017-08-25 02:57:59.480,0,5.68715632,
2017-08-25 02:58:00.730,0,5.18201169,
2017-08-25 02:58:00.780,0,,
2017-08-25 02:58:02.270,0,4.71480089,
2017-08-25 02:58:04.770,0,4.28318092,
2017-08-25 02:58:08.750,0,3.88492134,
2017-08-25 02:58:16.270,0,3.51790048,
2017-08-25 02:58:21.750,0,,
2017-08-25 02:58:31.780,0,3.18010163,
2017-08-25 02:58:53.480,0,,
2017-08-25 02:58:56.000,0,3.51790048,
2017-08-25 02:58:58.750,0,3.88492134,
2017-08-25 02:58:59.020,0,,
2017-08-25 02:59:03.750,0,4.28318092,
2017-08-25 02:59:11.110,0,,
2017-08-25 03:00:08.250,0,,
2017-08-25 03:00:29.750,0,3.88492134,
2017-08-25 03:01:35.730,0,3.51790048,
2017-08-25 03:03:03.000,0,3.18010163,
2017-08-25 03:05:09.500,0,2.86960947,
2017-08-25 03:09:08.000,0,2.58460637,
2017-08-25 03:18:30.030,0,2.32336893,
2017-08-25 04:09:57.060,0,2.08426452,
2017-08-25 04:14:02.330,0,1.86574789,
2017-08-25 04:52:38.830,0,,
2017-08-25 04:56:29.110,0,1.66635787,
2017-08-25 04:57:33.580,0,,16.0
2017-08-25 04:57:59.580,0,,32.0
2017-08-25 04:59:51.590,0,,1.0
2017-08-25 04:59:51.860,0,7000.50815,
